order_id,order_date,product_id,product_name,category,channel,units,base_price,discount_pct,final_price,revenue,cogs,profit,profit_margin_pct
O000030,2024-02-04,P025,Product 25,Home,Referral,1,106.61,0.301,74.52,74.52,58.63,15.89,0.213
O000031,2024-01-28,P022,Product 22,Beauty,Organic,3,71.35,0.177,58.71,176.14,74.92,101.22,0.575
O000032,2024-02-04,P034,Product 34,Accessories,Referral,2,86.91,0.119,76.55,153.11,52.14,100.97,0.659
O000033,2024-08-07,P026,Product 26,Supplements,Organic,3,183.22,0.283,118.26,354.79,222.62,132.17,0.373
O000034,2024-01-12,P040,Product 40,Electronics,Referral,1,157.87,0.378,98.18,98.18,118.4,-20.22,-0.206
O000035,2024-02-05,P041,Product 41,Home,Facebook,1,69.3,0.205,55.08,55.08,38.11,16.97,0.308
O000036,2024-03-17,P043,Product 43,Supplements,Referral,1,161.18,0.19,130.6,130.6,72.53,58.07,0.445
O000037,2024-04-25,P018,Product 18,Supplements,Facebook,1,174.09,0.22,135.71,135.71,78.34,57.37,0.423
O000038,2025-02-10,P010,Product 10,Accessories,Organic,2,129.23,0.129,112.57,225.14,77.54,147.6,0.656
O000039,2025-06-20,P022,Product 22,Beauty,Facebook,1,71.35,0.158,54.06,54.06,22.48,31.58,0.584
O000040,2024-03-03,P030,Product 30,Accessories,Referral,2,194.37,0.179,159.5,318.99,116.62,202.37,0.634
O000041,2024-01-29,P014,Product 14,Beauty,Email,2,23.63,0.298,16.6,33.2,16.54,16.66,0.502
O000042,2025-01-16,P031,Product 31,Beauty,Facebook,2,98.2,0.304,68.38,136.77,68.74,68.02,0.497
O000043,2025-06-24,P042,Product 42,Supplements,Referral,2,51.79,0.261,34.46,68.91,41.95,26.96,0.391
O000044,2024-01-20,P042,Product 42,Supplements,Google,2,51.79,0.095,46.88,93.76,46.61,47.15,0.503
O000045,2024-04-22,P011,Product 11,Beauty,Email,1,112.08,0.234,85.86,85.86,39.23,46.63,0.543
O000046,2024-12-29,P018,Product 18,Supplements,Facebook,1,174.09,0.433,128.4,128.4,101.84,26.56,0.207
O000047,2025-01-05,P017,Product 17,Home,Email,3,124.6,0.208,98.62,295.87,205.58,90.29,0.305
O000048,2024-07-31,P030,Product 30,Accessories,Facebook,3,194.37,0.297,122.94,368.83,157.44,211.39,0.573
O000049,2024-12-31,P047,Product 47,Beauty,Google,3,32.65,0.145,36.28,108.85,44.57,64.28,0.591
O000050,2025-06-29,P048,Product 48,Accessories,Email,1,149.98,0.086,123.35,123.35,40.49,82.86,0.672
O000051,2024-05-21,P019,Product 19,Accessories,Facebook,1,98.34,0.074,91.03,91.03,29.5,61.52,0.676
O000052,2024-02-04,P010,Product 10,Accessories,Google,3,129.23,0.325,87.2,261.6,116.31,145.29,0.555
O000053,2024-09-18,P033,Product 33,Home,Organic,3,23.37,0.404,13.92,41.76,38.56,3.2,0.077
O000054,2025-03-06,P041,Product 41,Home,Email,2,69.3,0.113,61.48,122.95,76.22,46.73,0.38
O000055,2024-05-06,P034,Product 34,Accessories,Email,1,86.91,0.103,77.95,77.95,26.07,51.88,0.666
O000056,2025-01-10,P037,Product 37,Home,Google,1,115.4,0.349,75.08,75.08,63.47,11.61,0.155
O000057,2025-01-17,P026,Product 26,Supplements,Facebook,1,183.22,0.303,127.71,127.71,82.45,45.26,0.354
O000058,2024-08-15,P026,Product 26,Supplements,Google,1,183.22,0.193,133.04,133.04,74.21,58.83,0.442
O000059,2024-01-01,P043,Product 43,Supplements,Referral,1,161.18,0.204,128.3,128.3,72.53,55.77,0.435
O000060,2025-06-16,P018,Product 18,Supplements,Google,1,174.09,0.123,137.34,137.34,70.51,66.83,0.487
O000061,2024-05-16,P039,Product 39,Accessories,Google,2,28.79,0.07,26.79,53.58,17.28,36.3,0.678
O000062,2024-04-09,P031,Product 31,Beauty,Referral,1,98.2,0.152,83.27,83.27,34.37,48.9,0.587
O000063,2025-01-25,P009,Product 9,Beauty,Referral,1,48.64,0.136,42.02,42.02,17.02,25.0,0.595
O000064,2024-12-04,P038,Product 38,Electronics,Google,3,69.81,0.163,75.98,227.93,204.2,23.74,0.104
O000065,2025-03-21,P048,Product 48,Accessories,Email,1,149.98,0.091,136.33,136.33,44.99,91.34,0.67
O000066,2025-03-26,P023,Product 23,Accessories,Facebook,1,57.72,0.119,50.82,50.82,17.31,33.51,0.659
O000067,2024-04-18,P047,Product 47,Beauty,Facebook,1,32.65,0.212,25.73,25.73,11.43,14.31,0.556
O000068,2024-12-07,P026,Product 26,Supplements,Facebook,3,183.22,0.262,175.71,527.12,321.56,205.56,0.39
O000069,2025-02-21,P019,Product 19,Accessories,Google,1,98.34,0.282,70.58,70.58,29.5,41.08,0.582
O000070,2024-01-22,P020,Product 20,Beauty,Google,2,190.54,0.186,155.15,310.3,133.38,176.92,0.57
O000071,2024-07-20,P026,Product 26,Supplements,Email,1,183.22,0.153,139.68,139.68,74.21,65.48,0.469
O000072,2024-06-02,P040,Product 40,Electronics,Email,1,157.87,0.257,105.52,105.52,106.56,-1.04,-0.01
O000073,2024-10-25,P024,Product 24,Home,Organic,1,96.43,0.203,76.88,76.88,53.04,23.84,0.31
O000074,2024-05-14,P029,Product 29,Beauty,Referral,1,120.02,0.325,81.07,81.07,42.01,39.06,0.482
O000075,2024-09-17,P037,Product 37,Home,Organic,3,115.4,0.273,83.89,251.66,190.41,61.25,0.243
O000076,2024-06-23,P005,Product 5,Supplements,Organic,1,175.24,0.101,141.82,141.82,70.97,70.84,0.5
O000077,2025-01-18,P008,Product 8,Beauty,Organic,1,148.57,0.125,130.06,130.06,52.0,78.06,0.6
O000078,2024-08-07,P026,Product 26,Supplements,Referral,1,183.22,0.084,151.04,151.04,74.21,76.83,0.509
O000079,2024-12-05,P009,Product 9,Beauty,Organic,1,48.64,0.344,41.51,41.51,22.13,19.38,0.467
O000080,2024-08-22,P009,Product 9,Beauty,Organic,2,48.64,0.156,36.94,73.87,30.64,43.23,0.585
O000081,2024-04-02,P050,Product 50,Supplements,Organic,1,37.12,0.199,29.75,29.75,16.71,13.04,0.438
O000082,2024-09-20,P006,Product 6,Home,Referral,1,41.43,0.259,30.71,30.71,22.79,7.93,0.258
O000083,2024-05-24,P016,Product 16,Supplements,Email,1,85.76,0.241,65.11,65.11,38.59,26.52,0.407
O000084,2024-07-05,P044,Product 44,Supplements,Facebook,1,28.7,0.146,22.06,22.06,11.62,10.43,0.473
O000085,2024-01-13,P028,Product 28,Home,Organic,1,72.67,0.395,44.0,44.0,39.97,4.03,0.092
O000086,2024-07-10,P004,Product 4,Supplements,Google,2,33.5,0.137,26.01,52.01,27.13,24.88,0.478
O000087,2024-09-06,P034,Product 34,Accessories,Organic,2,86.91,0.096,78.54,157.08,52.14,104.93,0.668
O000088,2024-03-31,P007,Product 7,Supplements,Organic,1,18.81,0.096,17.01,17.01,8.46,8.54,0.502
O000089,2025-06-12,P032,Product 32,Beauty,Organic,1,180.54,0.158,136.75,136.75,56.87,79.88,0.584
O000090,2024-12-28,P021,Product 21,Home,Organic,1,119.21,0.143,132.77,132.77,85.23,47.54,0.358
O000091,2024-01-04,P042,Product 42,Supplements,Referral,2,51.79,0.134,44.86,89.71,46.61,43.11,0.48
O000092,2024-09-04,P027,Product 27,Home,Email,1,48.71,0.313,33.46,33.46,26.79,6.66,0.199
O000093,2024-01-17,P029,Product 29,Beauty,Referral,1,120.02,0.361,76.7,76.7,42.01,34.69,0.452
O000094,2025-05-31,P026,Product 26,Supplements,Facebook,2,183.22,0.299,128.42,256.84,164.9,91.94,0.358
O000095,2024-06-19,P047,Product 47,Beauty,Google,3,32.65,0.165,24.53,73.59,30.86,42.74,0.581
O000096,2024-05-07,P003,Product 3,Accessories,Organic,1,43.86,0.073,40.67,40.67,13.16,27.51,0.676
O000097,2024-07-08,P010,Product 10,Accessories,Referral,3,129.23,0.101,104.56,313.68,104.68,209.0,0.666
O000098,2024-06-19,P022,Product 22,Beauty,Referral,1,71.35,0.093,58.24,58.24,22.48,35.76,0.614
O000099,2025-02-24,P037,Product 37,Home,Referral,1,115.4,0.119,101.69,101.69,63.47,38.22,0.376
O000100,2024-07-06,P039,Product 39,Accessories,Organic,1,28.79,0.079,23.87,23.87,7.77,16.09,0.674
O000101,2024-08-16,P044,Product 44,Supplements,Facebook,3,28.7,0.187,20.99,62.96,34.87,28.1,0.446
O000102,2024-05-02,P036,Product 36,Beauty,Google,1,193.57,0.197,155.38,155.38,67.75,87.63,0.564
O000103,2024-06-19,P028,Product 28,Home,Referral,2,72.67,0.236,49.96,99.93,71.94,27.99,0.28
O000104,2025-03-15,P035,Product 35,Beauty,Google,1,114.84,0.092,104.28,104.28,40.2,64.09,0.615
O000105,2024-12-05,P042,Product 42,Supplements,Google,1,51.79,0.166,56.16,56.16,30.29,25.86,0.461
O000106,2025-04-25,P005,Product 5,Supplements,Organic,1,175.24,0.12,154.16,154.16,78.86,75.3,0.488
O000107,2025-04-29,P014,Product 14,Beauty,Referral,1,23.63,0.212,18.61,18.61,8.27,10.34,0.556
O000108,2024-10-31,P019,Product 19,Accessories,Email,3,98.34,0.066,91.81,275.44,88.51,186.93,0.679
O000109,2024-01-01,P002,Product 2,Supplements,Google,1,159.24,0.189,129.21,129.21,71.66,57.55,0.445
O000110,2024-12-12,P029,Product 29,Beauty,Organic,1,120.02,0.17,129.47,129.47,54.61,74.86,0.578
O000111,2024-06-09,P041,Product 41,Home,Facebook,1,69.3,0.269,45.62,45.62,34.3,11.32,0.248
O000112,2025-06-19,P029,Product 29,Beauty,Google,1,120.02,0.205,85.93,85.93,37.81,48.12,0.56
O000113,2024-01-16,P050,Product 50,Supplements,Google,2,37.12,0.248,27.93,55.87,33.41,22.45,0.402
O000114,2024-01-01,P034,Product 34,Accessories,Referral,1,86.91,0.107,77.61,77.61,26.07,51.54,0.664
O000115,2024-04-26,P046,Product 46,Electronics,Organic,3,130.31,0.213,102.53,307.58,293.2,14.39,0.047
O000116,2024-02-15,P040,Product 40,Electronics,Facebook,4,157.87,0.245,119.17,476.67,473.6,3.08,0.006
O000117,2024-10-02,P046,Product 46,Electronics,Google,3,130.31,0.289,92.69,278.08,293.2,-15.12,-0.054
O000118,2025-05-30,P014,Product 14,Beauty,Organic,1,23.63,0.376,14.75,14.75,8.27,6.48,0.439
O000119,2024-09-22,P005,Product 5,Supplements,Referral,2,175.24,0.095,158.66,317.32,157.72,159.6,0.503
O000120,2025-06-08,P016,Product 16,Supplements,Email,1,85.76,0.09,70.24,70.24,34.73,35.51,0.506
O000121,2024-01-11,P049,Product 49,Supplements,Facebook,1,118.83,0.237,90.72,90.72,53.47,37.25,0.411
O000122,2025-02-02,P015,Product 15,Home,Referral,1,82.78,0.183,67.65,67.65,45.53,22.13,0.327
O000123,2024-08-26,P011,Product 11,Beauty,Google,1,112.08,0.124,88.39,88.39,35.31,53.08,0.601
O000124,2024-02-24,P010,Product 10,Accessories,Organic,1,129.23,0.188,104.93,104.93,38.77,66.16,0.631
O000125,2024-11-18,P026,Product 26,Supplements,Email,1,183.22,0.083,218.46,218.46,107.19,111.27,0.509
O000126,2024-12-09,P014,Product 14,Beauty,Google,1,23.63,0.101,27.63,27.63,10.75,16.87,0.611
O000127,2024-05-29,P041,Product 41,Home,Facebook,1,69.3,0.336,46.03,46.03,38.11,7.92,0.172
O000128,2024-10-03,P011,Product 11,Beauty,Facebook,3,112.08,0.186,91.22,273.66,117.68,155.98,0.57
O000129,2025-06-06,P048,Product 48,Accessories,Referral,1,149.98,0.114,119.56,119.56,40.49,79.07,0.661
O000130,2025-04-08,P026,Product 26,Supplements,Google,2,183.22,0.125,160.23,320.47,164.9,155.57,0.485
O000131,2024-02-20,P017,Product 17,Home,Organic,2,124.6,0.135,107.75,215.5,137.06,78.44,0.364
O000132,2024-01-31,P047,Product 47,Beauty,Organic,1,32.65,0.108,29.12,29.12,11.43,17.69,0.608
O000133,2024-03-07,P003,Product 3,Accessories,Referral,1,43.86,0.207,34.8,34.8,13.16,21.65,0.622
O000134,2024-06-26,P012,Product 12,Home,Google,1,19.27,0.273,12.6,12.6,9.54,3.06,0.243
O000135,2024-03-13,P017,Product 17,Home,Email,1,124.6,0.204,99.12,99.12,68.53,30.6,0.309
O000136,2024-03-02,P023,Product 23,Accessories,Organic,1,57.72,0.127,50.36,50.36,17.31,33.05,0.656
O000137,2024-06-10,P015,Product 15,Home,Referral,1,82.78,0.287,53.12,53.12,40.97,12.15,0.229
O000138,2024-10-08,P016,Product 16,Supplements,Referral,1,85.76,0.184,69.97,69.97,38.59,31.38,0.449
O000139,2024-08-13,P011,Product 11,Beauty,Google,2,112.08,0.195,81.19,162.38,70.61,91.76,0.565
O000140,2024-08-19,P021,Product 21,Home,Organic,3,119.21,0.266,78.72,236.16,177.02,59.13,0.25
O000141,2024-09-11,P013,Product 13,Supplements,Referral,1,128.19,0.13,111.48,111.48,57.69,53.79,0.483
O000142,2024-11-20,P006,Product 6,Home,Email,1,41.43,0.13,46.84,46.84,29.62,17.22,0.368
O000143,2025-01-17,P031,Product 31,Beauty,Email,1,98.2,0.279,70.77,70.77,34.37,36.4,0.514
O000144,2024-08-14,P035,Product 35,Beauty,Facebook,2,114.84,0.091,93.98,187.97,72.35,115.61,0.615
O000145,2024-06-19,P035,Product 35,Beauty,Google,1,114.84,0.235,79.1,79.1,36.18,42.93,0.543
O000146,2024-11-16,P001,Product 1,Home,Organic,3,190.88,0.123,217.61,652.82,409.44,243.38,0.373
O000147,2025-03-30,P016,Product 16,Supplements,Organic,1,85.76,0.217,67.11,67.11,38.59,28.52,0.425
O000148,2024-08-23,P020,Product 20,Beauty,Referral,2,190.54,0.185,139.69,279.37,120.04,159.33,0.57
O000149,2024-03-05,P019,Product 19,Accessories,Facebook,1,98.34,0.289,69.88,69.88,29.5,40.38,0.578
O000150,2024-10-10,P021,Product 21,Home,Facebook,1,119.21,0.346,78.0,78.0,65.56,12.43,0.159
O000151,2025-06-14,P041,Product 41,Home,Referral,1,69.3,0.139,53.68,53.68,34.3,19.38,0.361
O000152,2024-02-03,P031,Product 31,Beauty,Organic,3,98.2,0.184,80.16,240.48,103.11,137.37,0.571
O000153,2025-06-19,P042,Product 42,Supplements,Email,1,51.79,0.262,34.41,34.41,20.97,13.43,0.39
O000154,2025-06-21,P020,Product 20,Beauty,Email,1,190.54,0.176,141.26,141.26,60.02,81.24,0.575
O000155,2024-02-15,P036,Product 36,Beauty,Facebook,1,193.57,0.191,156.63,156.63,67.75,88.88,0.567
O000156,2024-05-04,P040,Product 40,Electronics,Organic,1,157.87,0.211,124.54,124.54,118.4,6.14,0.049
O000157,2024-05-12,P020,Product 20,Beauty,Google,2,190.54,0.246,143.7,287.4,133.38,154.02,0.536
O000158,2025-02-19,P023,Product 23,Accessories,Organic,2,57.72,0.291,40.93,81.87,34.63,47.24,0.577
O000159,2025-02-05,P011,Product 11,Beauty,Referral,1,112.08,0.189,90.94,90.94,39.23,51.71,0.569
O000160,2024-10-03,P011,Product 11,Beauty,Email,1,112.08,0.116,99.04,99.04,39.23,59.81,0.604
O000161,2024-08-02,P044,Product 44,Supplements,Facebook,1,28.7,0.213,20.34,20.34,11.62,8.72,0.429
O000162,2024-01-23,P036,Product 36,Beauty,Referral,1,193.57,0.239,147.31,147.31,67.75,79.56,0.54
O000163,2024-08-23,P024,Product 24,Home,Email,1,96.43,0.129,75.57,75.57,47.73,27.84,0.368
O000164,2024-05-31,P036,Product 36,Beauty,Referral,1,193.57,0.185,157.77,157.77,67.75,90.02,0.571
O000165,2024-05-10,P013,Product 13,Supplements,Facebook,1,128.19,0.325,86.59,86.59,57.69,28.91,0.334
O000166,2024-12-30,P043,Product 43,Supplements,Facebook,3,161.18,0.329,140.7,422.1,282.88,139.23,0.33
O000167,2024-11-19,P006,Product 6,Home,Email,2,41.43,0.183,44.03,88.06,59.25,28.81,0.327
O000168,2025-01-15,P026,Product 26,Supplements,Facebook,1,183.22,0.121,161.14,161.14,82.45,78.68,0.488
O000169,2024-03-13,P048,Product 48,Accessories,Google,1,149.98,0.139,129.17,129.17,44.99,84.17,0.652
O000170,2024-09-17,P044,Product 44,Supplements,Google,1,28.7,0.238,21.87,21.87,12.91,8.95,0.409
O000171,2024-10-08,P023,Product 23,Accessories,Email,3,57.72,0.111,51.29,153.86,51.94,101.91,0.662
O000172,2024-02-25,P028,Product 28,Home,Email,1,72.67,0.197,58.36,58.36,39.97,18.4,0.315
O000173,2024-10-18,P018,Product 18,Supplements,Email,1,174.09,0.25,130.62,130.62,78.34,52.28,0.4
O000174,2024-06-26,P040,Product 40,Electronics,Organic,1,157.87,0.293,100.42,100.42,106.56,-6.14,-0.061
O000175,2024-07-02,P041,Product 41,Home,Organic,1,69.3,0.259,46.24,46.24,34.3,11.94,0.258
O000176,2024-03-20,P002,Product 2,Supplements,Email,2,159.24,0.195,128.11,256.23,143.32,112.91,0.441
O000177,2025-05-17,P043,Product 43,Supplements,Organic,1,161.18,0.127,140.77,140.77,72.53,68.24,0.485
O000178,2024-09-20,P012,Product 12,Home,Email,1,19.27,0.12,16.96,16.96,10.6,6.36,0.375
O000179,2024-12-04,P027,Product 27,Home,Referral,1,48.71,0.323,42.86,42.86,34.83,8.03,0.187
O000180,2024-01-23,P028,Product 28,Home,Organic,2,72.67,0.107,64.9,129.81,79.93,49.87,0.384
O000181,2025-05-02,P034,Product 34,Accessories,Google,1,86.91,0.262,64.1,64.1,26.07,38.03,0.593
O000182,2024-11-01,P018,Product 18,Supplements,Facebook,3,174.09,0.272,164.75,494.24,305.53,188.71,0.382
O000183,2025-03-31,P035,Product 35,Beauty,Referral,1,114.84,0.184,93.76,93.76,40.2,53.56,0.571
O000184,2025-02-28,P043,Product 43,Supplements,Organic,1,161.18,0.224,125.05,125.05,72.53,52.52,0.42
O000185,2024-06-17,P026,Product 26,Supplements,Organic,2,183.22,0.119,145.32,290.64,148.41,142.23,0.489
O000186,2024-08-28,P019,Product 19,Accessories,Email,1,98.34,0.193,71.39,71.39,26.55,44.84,0.628
O000187,2025-03-14,P010,Product 10,Accessories,Google,1,129.23,0.114,114.49,114.49,38.77,75.72,0.661
O000188,2025-02-14,P013,Product 13,Supplements,Facebook,1,128.19,0.22,99.98,99.98,57.69,42.3,0.423
O000189,2025-02-19,P045,Product 45,Beauty,Facebook,2,36.44,0.358,23.4,46.8,25.51,21.3,0.455
O000190,2024-01-21,P014,Product 14,Beauty,Referral,1,23.63,0.191,19.11,19.11,8.27,10.84,0.567
O000191,2025-03-30,P007,Product 7,Supplements,Organic,1,18.81,0.128,16.41,16.41,8.46,7.95,0.484
O000192,2024-11-02,P032,Product 32,Beauty,Organic,1,180.54,0.242,177.81,177.81,82.15,95.67,0.538
O000193,2024-01-10,P047,Product 47,Beauty,Facebook,1,32.65,0.288,23.26,23.26,11.43,11.83,0.509
O000194,2024-02-28,P004,Product 4,Supplements,Google,2,33.5,0.276,24.25,48.5,30.15,18.36,0.378
O000195,2024-01-29,P049,Product 49,Supplements,Organic,3,118.83,0.2,95.04,285.11,160.42,124.69,0.437
O000196,2024-05-25,P004,Product 4,Supplements,Google,1,33.5,0.113,29.71,29.71,15.07,14.63,0.493
O000197,2024-06-05,P029,Product 29,Beauty,Google,1,120.02,0.236,82.49,82.49,37.81,44.68,0.542
O000198,2024-08-08,P037,Product 37,Home,Referral,1,115.4,0.144,88.87,88.87,57.12,31.75,0.357
O000199,2024-12-13,P002,Product 2,Supplements,Email,1,159.24,0.348,134.99,134.99,93.16,41.83,0.31
O000200,2025-02-27,P003,Product 3,Accessories,Referral,3,43.86,0.106,39.22,117.67,39.48,78.2,0.665
O000201,2024-10-19,P002,Product 2,Supplements,Email,1,159.24,0.146,135.96,135.96,71.66,64.3,0.473
O000202,2024-05-28,P001,Product 1,Home,Google,1,190.88,0.365,121.17,121.17,104.99,16.18,0.134
O000203,2024-05-26,P014,Product 14,Beauty,Facebook,2,23.63,0.185,19.26,38.52,16.54,21.98,0.571
O000204,2024-04-18,P020,Product 20,Beauty,Organic,1,190.54,0.193,153.8,153.8,66.69,87.11,0.566
O000205,2024-12-18,P008,Product 8,Beauty,Facebook,1,148.57,0.226,149.47,149.47,67.6,81.87,0.548
O000206,2025-06-03,P031,Product 31,Beauty,Referral,2,98.2,0.065,82.65,165.29,61.87,103.42,0.626
O000207,2025-03-22,P045,Product 45,Beauty,Organic,2,36.44,0.065,34.08,68.16,25.51,42.65,0.626
O000208,2025-06-19,P043,Product 43,Supplements,Organic,1,161.18,0.092,131.66,131.66,65.28,66.38,0.504
O000209,2024-01-03,P011,Product 11,Beauty,Facebook,1,112.08,0.241,85.1,85.1,39.23,45.87,0.539
O000210,2025-04-24,P003,Product 3,Accessories,Facebook,1,43.86,0.135,37.96,37.96,13.16,24.8,0.653
O000211,2024-07-19,P009,Product 9,Beauty,Google,1,48.64,0.11,38.94,38.94,15.32,23.62,0.607
O000212,2025-04-04,P044,Product 44,Supplements,Referral,1,28.7,0.25,21.53,21.53,12.91,8.61,0.4
O000213,2024-09-30,P008,Product 8,Beauty,Organic,1,148.57,0.205,118.18,118.18,52.0,66.18,0.56
O000214,2024-04-27,P047,Product 47,Beauty,Referral,3,32.65,0.071,30.35,91.04,34.28,56.75,0.623
O000215,2024-06-08,P026,Product 26,Supplements,Email,2,183.22,0.116,145.74,291.48,148.41,143.06,0.491
O000216,2024-02-09,P025,Product 25,Home,Email,3,106.61,0.244,80.61,241.83,175.9,65.92,0.273
O000217,2024-12-16,P021,Product 21,Home,Facebook,2,119.21,0.187,125.97,251.95,170.47,81.48,0.323
O000218,2024-06-07,P034,Product 34,Accessories,Facebook,1,86.91,0.224,60.73,60.73,23.46,37.26,0.614
O000219,2024-02-17,P035,Product 35,Beauty,Organic,3,114.84,0.302,80.14,240.43,120.59,119.85,0.498
O000220,2024-03-31,P042,Product 42,Supplements,Organic,3,51.79,0.376,32.3,96.91,69.91,27.0,0.279
O000221,2025-06-19,P013,Product 13,Supplements,Facebook,1,128.19,0.31,79.66,79.66,51.92,27.74,0.348
O000222,2024-08-17,P031,Product 31,Beauty,Facebook,1,98.2,0.317,60.36,60.36,30.93,29.42,0.487
O000223,2024-06-16,P048,Product 48,Accessories,Google,1,149.98,0.213,106.22,106.22,40.49,65.72,0.619
O000224,2025-05-25,P049,Product 49,Supplements,Facebook,1,118.83,0.287,84.7,84.7,53.47,31.23,0.369
O000225,2024-06-28,P045,Product 45,Beauty,Referral,1,36.44,0.098,29.58,29.58,11.48,18.1,0.612
O000226,2024-03-05,P016,Product 16,Supplements,Facebook,1,85.76,0.163,71.77,71.77,38.59,33.18,0.462
O000227,2025-01-09,P025,Product 25,Home,Google,3,106.61,0.343,70.05,210.14,175.9,34.23,0.163
O000228,2024-12-18,P043,Product 43,Supplements,Facebook,1,161.18,0.277,151.6,151.6,94.29,57.31,0.378
O000229,2024-01-14,P030,Product 30,Accessories,Google,1,194.37,0.411,114.5,114.5,58.31,56.19,0.491
O000230,2025-03-23,P030,Product 30,Accessories,Referral,2,194.37,0.331,130.03,260.05,116.62,143.43,0.552
O000231,2024-05-26,P028,Product 28,Home,Organic,2,72.67,0.101,65.31,130.62,79.93,50.69,0.388
O000232,2024-08-02,P050,Product 50,Supplements,Facebook,1,37.12,0.094,30.26,30.26,15.04,15.23,0.503
O000233,2024-08-31,P011,Product 11,Beauty,Organic,1,112.08,0.167,84.0,84.0,35.31,48.69,0.58
O000234,2025-01-06,P043,Product 43,Supplements,Facebook,1,161.18,0.149,137.23,137.23,72.53,64.7,0.471
O000235,2025-01-10,P037,Product 37,Home,Facebook,1,115.4,0.294,81.42,81.42,63.47,17.95,0.22
O000236,2024-07-07,P008,Product 8,Beauty,Facebook,1,148.57,0.211,105.46,105.46,46.8,58.66,0.556
O000237,2024-12-11,P035,Product 35,Beauty,Google,2,114.84,0.115,132.17,264.35,104.51,159.84,0.605
O000238,2025-04-09,P042,Product 42,Supplements,Facebook,1,51.79,0.273,37.64,37.64,23.3,14.34,0.381
O000239,2024-02-10,P005,Product 5,Supplements,Facebook,1,175.24,0.311,120.72,120.72,78.86,41.86,0.347
O000240,2024-07-16,P023,Product 23,Accessories,Google,1,57.72,0.369,32.8,32.8,15.58,17.21,0.525
O000241,2025-04-15,P045,Product 45,Beauty,Referral,2,36.44,0.333,24.32,48.63,25.51,23.13,0.476
